Question,Marks,Difficulty,Subject,Topic
Define Search Algorithms,2,Easy,AI,Search Algorithms
Analyze the importance of Search Algorithms,10,Hard,AI,Search Algorithms
Name the advantages of AI Ethics,2,Easy,AI,AI Ethics
Explain challenges in AI Ethics,10,Hard,AI,AI Ethics
What is Inference Systems,2,Easy,AI,Inference Systems
Explain Inference Systems in detail,10,Hard,AI,Inference Systems
State the features of Artificial Intelligence,2,Easy,AI,Artificial Intelligence
Discuss advantages and limitations of Artificial Intelligence,10,Hard,AI,Artificial Intelligence
Define Constraint Satisfaction,2,Easy,AI,Constraint Satisfaction
Describe the working of Constraint Satisfaction,10,Hard,AI,Constraint Satisfaction
Define AI Ethics,2,Easy,AI,AI Ethics
Describe the working of AI Ethics,10,Hard,AI,AI Ethics
Name the advantages of Game Playing,2,Easy,AI,Game Playing
Analyze real-world applications of Game Playing,10,Hard,AI,Game Playing
Name the advantages of Natural Language Processing,2,Easy,AI,Natural Language Processing
Analyze the importance of Natural Language Processing,10,Hard,AI,Natural Language Processing
Define Neural Networks,2,Easy,AI,Neural Networks
Explain challenges in Neural Networks,10,Hard,AI,Neural Networks
Name the advantages of Computer Vision,2,Easy,AI,Computer Vision
Discuss the architecture of Computer Vision,10,Hard,AI,Computer Vision
List the applications of Applications of AI,2,Easy,AI,Applications of AI
Describe the working of Applications of AI,10,Hard,AI,Applications of AI
Define Knowledge Representation,2,Easy,AI,Knowledge Representation
Describe the working of Knowledge Representation,10,Hard,AI,Knowledge Representation
Name the advantages of AI Ethics,2,Easy,AI,AI Ethics
Discuss the architecture of AI Ethics,10,Hard,AI,AI Ethics
State the features of AI Ethics,2,Easy,AI,AI Ethics
Analyze the importance of AI Ethics,10,Hard,AI,AI Ethics
Name the advantages of Reasoning Systems,2,Easy,AI,Reasoning Systems
Explain Reasoning Systems in detail,10,Hard,AI,Reasoning Systems
State the features of Intelligent Agents,2,Easy,AI,Intelligent Agents
Discuss advantages and limitations of Intelligent Agents,10,Hard,AI,Intelligent Agents
What is Fuzzy Logic,2,Easy,AI,Fuzzy Logic
