Question,Marks,Difficulty,Subject,Topic
Define Artificial Intelligence,2,Easy,AI,Introduction to AI
What is AI?,2,Easy,AI,Introduction to AI
Define intelligent agent,2,Easy,AI,Intelligent Agents
What is machine learning?,2,Easy,AI,Machine Learning Basics
Define NLP,2,Easy,AI,Natural Language Processing
What is robotics?,2,Easy,AI,Robotics
Define expert system,2,Easy,AI,Expert Systems
What is computer vision?,2,Easy,AI,Computer Vision
Define heuristic search,2,Easy,AI,Search Algorithms
What is automation?,2,Easy,AI,Applications of AI
Define state space,2,Easy,AI,Problem Solving
What is reasoning in AI?,2,Easy,AI,Knowledge Representation
Define chatbot,2,Easy,AI,Natural Language Processing
What is deep learning?,2,Easy,AI,Neural Networks
Define search algorithm,2,Easy,AI,Search Algorithms
What is Turing Test?,2,Easy,AI,Introduction to AI
Define knowledge base,2,Easy,AI,Knowledge Representation
What is uninformed search?,2,Easy,AI,Search Algorithms
Define informed search,2,Easy,AI,Search Algorithms
What is game playing in AI?,2,Easy,AI,Game Playing
Differentiate AI and ML,2,Medium,AI,Machine Learning Basics
Explain BFS algorithm,2,Medium,AI,Search Algorithms
Explain DFS algorithm,2,Medium,AI,Search Algorithms
What is fuzzy logic?,2,Medium,AI,Fuzzy Logic
Explain minimax algorithm,2,Medium,AI,Game Playing
What is supervised learning?,2,Medium,AI,Machine Learning Basics
What is unsupervised learning?,2,Medium,AI,Machine Learning Basics
Explain semantic networks,2,Medium,AI,Knowledge Representation
What is reinforcement learning?,2,Medium,AI,Machine Learning Basics
Explain hill climbing algorithm,2,Medium,AI,Search Algorithms
Differentiate NLP and computer vision,2,Medium,AI,NLP and Computer Vision
Explain planning in AI,2,Medium,AI,Planning
What is predicate logic?,2,Medium,AI,Knowledge Representation
Explain AI applications,2,Medium,AI,Applications of AI
What is genetic algorithm?,2,Medium,AI,Evolutionary Computing
Differentiate weak AI and strong AI,2,Medium,AI,Introduction to AI
Explain heuristic function,2,Medium,AI,Search Algorithms
What is constraint satisfaction problem?,2,Medium,AI,Problem Solving
Explain knowledge representation,2,Medium,AI,Knowledge Representation
What is machine perception?,2,Medium,AI,Computer Vision
Explain alpha beta pruning,2,Hard,AI,Game Playing
Differentiate A* and AO* algorithms,2,Hard,AI,Search Algorithms
Explain Bayesian networks,2,Hard,AI,Probabilistic Reasoning
Differentiate forward and backward chaining,2,Hard,AI,Expert Systems
Explain adversarial search,2,Hard,AI,Game Playing
Explain symbolic AI,2,Hard,AI,Knowledge Representation
Explain uncertainty handling in AI,2,Hard,AI,Probabilistic Reasoning
Differentiate reactive and deliberative agents,2,Hard,AI,Intelligent Agents
Explain cognitive computing,2,Hard,AI,Advanced AI
Explain intelligent systems,2,Hard,AI,Advanced AI
Explain frame representation,2,Hard,AI,Knowledge Representation
What are production rules in AI?,2,Hard,AI,Expert Systems
Explain neural network architecture,2,Hard,AI,Neural Networks
Explain heuristic optimization,2,Hard,AI,Optimization Techniques
Differentiate propositional and predicate logic,2,Hard,AI,Knowledge Representation
Explain AI problem formulation,2,Hard,AI,Problem Solving
Describe expert system architecture,2,Hard,AI,Expert Systems
Explain informed search strategies,2,Hard,AI,Search Algorithms
Differentiate logic programming and AI,2,Hard,AI,Knowledge Representation
Explain uncertainty in expert systems,2,Hard,AI,Expert Systems
Explain AI applications,10,Easy,AI,Applications of AI
Describe intelligent agents with examples,10,Easy,AI,Intelligent Agents
Explain machine learning basics,10,Easy,AI,Machine Learning Basics
Describe NLP applications,10,Easy,AI,Natural Language Processing
Explain robotics in AI,10,Easy,AI,Robotics
Describe heuristic search methods,10,Easy,AI,Search Algorithms
Explain expert systems,10,Easy,AI,Expert Systems
Describe computer vision concepts,10,Easy,AI,Computer Vision
Explain search techniques in AI,10,Easy,AI,Search Algorithms
Describe AI lifecycle,10,Easy,AI,Introduction to AI
Explain BFS and DFS algorithms,10,Medium,AI,Search Algorithms
Describe knowledge representation techniques,10,Medium,AI,Knowledge Representation
Explain minimax algorithm with example,10,Medium,AI,Game Playing
Describe reinforcement learning,10,Medium,AI,Machine Learning Basics
Explain fuzzy logic systems,10,Medium,AI,Fuzzy Logic
Describe semantic networks,10,Medium,AI,Knowledge Representation
Explain hill climbing algorithm with example,10,Medium,AI,Search Algorithms
Describe planning in AI systems,10,Medium,AI,Planning
Explain supervised and unsupervised learning,10,Medium,AI,Machine Learning Basics
Describe genetic algorithms,10,Medium,AI,Evolutionary Computing
Explain alpha beta pruning in detail,10,Hard,AI,Game Playing
Describe Bayesian networks with examples,10,Hard,AI,Probabilistic Reasoning
Explain adversarial search strategies,10,Hard,AI,Game Playing
Describe uncertainty handling in AI systems,10,Hard,AI,Probabilistic Reasoning
Explain neural network architecture in AI,10,Hard,AI,Neural Networks
Describe forward and backward chaining,10,Hard,AI,Expert Systems
